Book,AverageRating
6476201,7
6476260,9
6476333,7
6476414,8
6476538,7
6476589,7.5
6477100,5.5
6477143,7
6477151,8
6477232,7
64778727,7
6478549,5
000647859X,7.5
6478662,10
6478670,7
6478697,4.6666665
6478719,7
6478727,7.5
6478735,9
6478921,5
6479278,7.6666665
6479286,7
6479367,10
6479383,8
6479499,8
6479502,10
6479553,10
6479677,7
000647974X,8.5
6479758,8
6479839,8
6479898,8
6479944,6
6480047,8
6480217,6
6480225,5.5
6480268,8.5
6480365,8
6480411,7.6666665
000648042X,10
6480438,9
6480535,6
6480551,8
6480608,7
6480764,5.625
6480837,7
6480918,9.5
6480985,7
6481078,7
6481213,9.25
6481221,7
6481566,7.5
6481604,5
6481841,8
000648185X,10
6481957,9
6481973,8
000648199X,6
6482023,8
6482031,5
648204,6
6482058,5
6482139,9
6482333,6
6482511,5
6482643,5.6666665
6482651,7
6482686,5
6482783,7.3333335
6482821,9
6482872,8
6482880,6
6483003,8
000648302X,6.5
6483054,7
6483240,8
6483461,7
6483488,8
6483550,6
6483658,7
6483704,9
6483747,7
6483763,7
000648381X,9
6483836,8
6483933,10
648501,4
6485014,6.7777777
000648512X,7
6485138,8
6485200,8.6
000648526X,7.6666665
6485278,8.75
6485294,7.5
6485324,8.5
6485383,7.5
6485421,6
6485464,7
6485707,10
6485715,8
6485820,4
6485855,7.75
000648588X,8
6485936,8.4
6485979,6.5
6486045,6
6490018,7
6490085,7
6490239,3
6490263,6.5
6490328,10
6490344,10
6490352,8
6490603,10
6492126,10
6492347,7.75
6493122,9
6493157,8.666667
6493181,4
6493203,2
6493556,7
6493580,7
6493599,5
000649613X,5.5
6496334,9
6496400,7
6496423,7.5
000649644X,8
6496458,8
6496466,6
000649658X,6.3333335
6496598,5
6496601,8
6496733,3
6496741,3
6496776,7.5
6496946,7
6497012,9
000649708X,7
6497721,7.5
6497802,8.25
6497993,7.5
6498019,9
6498027,6.6666665
6498035,5
000649806X,6
6498132,8
6498140,5.6666665
6498329,7.6666665
649840,8
000649840X,7.756098
000649840x,8
6498469,6
6498493,10
6498744,9
6498752,8
000649885X,3
6498884,3
6499023,5
6499031,7
6499058,8
6499090,7
6499155,7
6499198,9
6499287,5
000649935X,7
6499422,6
000649952X,8
6499597,8
6499600,8
6499643,9
6499694,8
6499716,7
000649983X,8.5
6499937,8
6499988,8
650967,5
6510019,8
6510094,8
6510183,8.666667
6510272,6
6510310,8
6510345,8.6
6510507,7
6510531,6.5
6510558,6
6510590,8
6510639,5
6510647,8.5
6510663,6
6510876,7
6510884,7
6510906,9
6510973,7
6511112,9
6511120,8
6511147,7
6511155,6
000651118X,7
6511252,8
6511309,7
6511414,5
6511449,6
6511481,9
6511724,9
6511767,8.5
6511775,9
6511821,7
000651183X,7
6511848,7
6511856,7
000651202X,7.3333335
000651202x,9
6512038,6
6512046,9
6512054,6
6512062,7.3333335
6512070,7.5
6512135,6.6666665
6512143,7
6512208,8.333333
6512240,7.6666665
6512461,8
6512631,8
000651264X,7
6512658,5
6512666,6.5
6512674,8.5
6512690,4.5
6512801,6
6512887,9
6512925,4
6513077,8
6513107,7
6513123,10
6513190,7
6513204,7.4
6513220,9.454545
6513239,6.75
651330,5
6513409,4
6513417,6.5
6513506,8
6513751,7
6513816,5
6513840,7.8
6513905,6.6666665
6514006,8
6514057,7
6514073,8
651409,9
000651409X,5
000651412X,6
6514138,10
651415,7
6514189,7
6514197,7
6514219,8
6514243,8
6514278,1
6514286,5.5
6514324,7.3333335
6514340,6
6514367,7
6514375,4.6666665
6514391,8
6514480,7
6514588,6
6514693,8.333333
6514766,9
6514774,3
6514782,4.5
6514812,7
6514855,7
6514952,7.6666665
6514960,9
652320,6.5
6530400,8.375
000653063X,9
6530826,8
6531156,5.25
6531407,8
6531520,4
000653175x,8
6531768,5.5
6531776,6.5
6531903,10
65390400,7
6540031,7
6540449,7
6540732,9.5
6541089,8
6541224,5
6541380,7
6541569,9
6541690,8
6541739,5
6542379,7
6542549,7
6542719,6
6542808,5
6543073,5
6543545,6.75
6543588,8
000654360X,7
6543707,6
6543863,5
6543936,7
654428,7
6544657,5.6666665
6544738,7
6544827,7.6666665
6544959,8
6544975,7
6545068,9
6545084,8
6545106,5
6545483,9
6545726,6
6545793,8
6545807,8
6545815,7
6545831,6
000654584X,7
6545998,10
6546064,7
000654634X,7
6546684,7
000654679X,4
6546838,6.2
6546846,6
6546978,8.5
6547001,7
6547168,4
6547249,7
000654729X,7
6547311,9
000654732X,7
6547346,7.75
6547384,7
6547478,8
6547486,7
6547613,8
6547745,6.5
6547753,9
6547834,8.066667
6548024,7
6548180,7.5
6548210,7
6548253,9
6548539,8.5
6548555,7
6548563,7
6548598,6.857143
000654861X,9.333333
6548695,8
6548717,3
6548814,9.5
6548830,6.75
6550002,8
6550061,7
6550169,8
6550185,5
6550193,7.5
6550266,9
65503701,9
6550401,7
6550436,7.2
6550479,8
6550487,6
6550517,8
6550525,7
6550576,7.266667
6550649,5.25
655068,8
6550681,8.357142
6550711,8.5
6550789,7.5
6550835,8
6550851,7
6550878,7
6550894,10
6550924,8
6550975,7.3333335
6551076,6
6551092,7.75
6551114,10
65511140,6
6551238,7
6551270,8
6551351,5
000655136X,6
6551386,7
6551599,6
6551602,5
6551785,7
6551793,9
6551815,4.5
6551823,8
6551858,5
6551912,5
6551920,8
6551939,4
6551971,8.125
6552021,6
6552110,9
000655220X,8
6552250,6
6552293,9
6552307,10
6552315,5
6552390,7
6552412,6.5
000655248X,3
000655736X,8
65854,6
6606415,6
000661471X,7
6619444,5
6626874,10
6640621,7
6640672,6
6640680,10
6640869,10
6642004,5
6645097,7
000665136X,10
6705286,10
6705294,10
6706134,9
6708013,8.5
670891576,8
6709931,7
000671000X,7
6710816,10
000671210X,9
6712274,8
6715184,8
6716636,9
6716644,10
6716652,8.5
6716660,10
6716679,9
6716687,8.5
6716695,10
6716725,6
6716733,6
6716741,6
000671675X,7
6717047,10
6717659,7.5
6717667,8
6718116,8
6719619,6
6722253,8.5
6722482,8
672296,8
6722970,8
6723977,5
6724159,8.2
6724590,9.5
000672566X,9.5
6726143,8
6727735,10
6727905,7
6729290,7
6729835,8
6730124,9
6730515,9
000673765X,10
6740200,8
6740359,7
6740588,10
6742815,6
6742912,7
6742939,7.3333335
6742947,8
6743242,5
6743455,1
6743463,7
6744192,7
6744214,7
6744249,7
6746039,7
6746047,7
6746187,7
6746624,6
6746679,8.5
6747000,7
6748147,5
6749291,6
6749585,6
6750133,9
6750222,8
6751180,8
6751504,8.5
6751687,7
6753426,10
6753973,8
000675399X,7
6754023,7.5
6754155,7
6754171,7
6754279,9
6754783,6
6754821,9
000675483X,7
6754864,7
6755186,8.2
6755194,10
6755232,5
6755291,7
6755305,8
6755321,7
000684512X,6
6860524,8
6863213,9
6863701,8
6907423,5
6908896,9
6911560,10
6912133,7
6913822,7
6915558,7
6915612,8
6915647,10
6915728,7
6922007,8
6922627,9
6923135,10
000692347X,10
6924034,7
6925979,6
6925995,8
6926495,9
6928323,8
6930336,8
6930778,5
6931820,6.3333335
6932126,7
6935192,8
6940889,7
6942369,7
6944035,10
7072737,10
70854,8
7100108,9
7100167,10
7100191,7
7100221,6.5
7100337,7
7100434,8
000710068X,8.25
000710068X0,5
7100922,6
7100930,7
7100957,2
7100973,10
7101260,8
7101694,6
7101953,7
7102216,7.5
7102763,6
7102887,6
000710331X,10
7103344,8
7103352,10
7103360,10
7103468,7
7103867,6
7103921,8
7104510,5
7104820,6
000710488X,8
7105150,9
7105320,8
000710555X,5
7105665,6.3333335
7105797,7
7105940,7
7106130,9.5
7106335,9
7106572,6
000710698X,10
7107110,7
7107218,8
7107838,8.25
7107900,9
7108265,6.2
7108273,7.4545455
7108389,5
7109075,6
000710913X,6
7109261,8
7109490,8
000710989X,6
7110200,6
7110219,9
7110227,9
7110456,4
7110472,6
7110928,7.703704
7111819,7
7112270,6
7113315,7
7113323,10
7113463,10
000711365X,10
7113668,10
7113722,4
7114249,7
7114648,7.5
7114788,8
7114818,8
7114877,9.5
7115784,5
7116241,8
7116497,10
7116993,9
7117221,5
000711737X,10
7117507,5
7117892,9
7118147,4
7118252,9
7118465,5
7118546,8
7118619,6
7118627,7.25
7118643,7
7118910,9
7119054,3
7119070,10
7119232,5
7119275,7
7119666,9
7119763,8
7119860,7.25
7119879,7
7119887,7
7120214,8
000712032X,9.5
7120664,6
7120680,4
000712080X,5
7121253,7
712127,7
7121326,7
7122039,7
7122160,7
7122179,9
7122217,5
7122861,9
7122918,9
7122977,8
7123140,7
7123280,10
7123469,9
7123760,5
7123779,5
7123787,5
7123809,10
7123817,9.166667
7123825,10
7123833,9.25
7124007,10
7124503,4
000712614X,8
7126468,8
7126867,5
7126972,7
7127162,6.5
712728,8
7127677,9
7127685,8
7127758,10
7127863,8
7127898,8
7127936,10
7127960,8
7128541,9
000712855X,9
7128568,7.5
7128576,8.5
7128649,9
7128665,5.8
7128959,6
7128983,6
000712970X,10
7129718,9
7129726,9
7130058,7
7130317,1
7130732,6
7130767,3
7131275,7
7131453,7
7132867,9
7133235,9
7133340,7
7133359,6
000713360X,7
7133618,9
7134290,9
7134495,7
7135718,5
7136900,6.5
7136919,8
7137427,8
000713746X,6
7137508,8
7137648,7
7137699,6.5
7138490,9
7139004,3
7139411,4.5
7139845,10
7139918,9
7140673,5
7140676,8
7140800,5
7141076,7.5
0007141076(HC,7
7141084,8
7141858,7.3333335
7141866,7
7142455,5
7142528,7.5
7142943,9
7143117,9
000714346X,8.5
7143907,6
7143923,7
714415,4.5
7144172,8
7144326,7
7144350,10
7144873,9
7145101,9
000714590X,9
7146353,10
000714637X,5.3333335
7146426,9
7146442,5
7148399,8
7149034,9
7149123,8
7149212,6
7149220,9
7149239,9
7149247,10
7149492,8
7149603,7
71506,10
000715111X,10
7151411,9.5
7151438,7.5
7151527,7.5
7153694,10
7154046,6
7154534,8
7154607,7.5
7154615,7.357143
7154836,8
7155093,9
7155115,8
7155182,9
7156022,8.5
7156103,5.8333335
7156111,5
000715786X,6.75
7158033,8.5
7158130,9
7158750,5
000716002X,8
7160585,8
000716131X,8
7161484,10
000716226X,5.7
7162332,7.5
7163541,7.6666665
7164076,7
7165005,8
7165498,7
7166036,10
7166311,8
000716971X,10
7170866,6.4545455
7172281,8
7172826,6.5
7173946,7
7174578,4
7176023,5
7178484,7
7178611,6
7179634,7
7181566,4
000718302X,6
7612591,9
7616996,9
7627270,9
7630212,5
7634927,5
7637675,9
7637683,10
7637691,10
7637705,8
7639554,10
000764065X,9
7643934,7
7651864,6
7652003,4
7659547,8
7661525,6
7664176,9
7680376,6
7683022,10
9391680,8
94536,6
99179145,6
99551101,7
108191,9
1094640,5
12828275,9
140044108,8
140459,7
141481,6.6666665
161000175,8
163329,10
166124,8
170415,10
172932,8
176628,8
1857479,5
1864446,7
192813323,7
1942303250,7
196048,7
20009607,7
20016700,7
20029101,6
20080956,5
002008823X,8
20088248,7.5
20093616,8
20098014,10
20102011,5
002010202X,5
20103514,8
20103700,5.5
002011690X,10
20122500,6
20125305,6.75
20125607,7.4
002013021X,6
20130902,7
20133405,8
20136609,6
20136803,6.6666665
20136900,5
20139713,7.5
20147953,10
20150806,7
20154402,8
20155506,10
20160909,5
20160917,5
20160925,5
20178506,5
20178557,6
20182104,10
20185502,7
20188706,7
20195508,10
20197802,10
20198507,4
20198809,8
20198817,7.9333334
20198825,5
20198841,8
20198906,7.2352943
20199031,6
20199201,5.5
20199309,9
20199406,5
20199600,8.416667
20199708,6.5
20199805,8
20199856,8.333333
20209851,10
002021782X,8
20223412,9
20223722,8.333333
20225601,7
20228732,8
20236107,7
20238207,8
20238401,5
20248717,8.5
002025900X,7
20259018,7
20259115,7
20259301,7
20259409,7.3333335
20259700,7
20259913,7
20264763,9.6
20264771,7
002026478X,7.6153846
20264801,9
20264852,8
20280505,8
002028361X,10
20283717,5
20291604,5
20295456,4
20295804,6
20296703,9
20296800,10
20298625,6.5
20298919,8
20299605,10
20303750,8
20306652,7.714286
20310404,6
20310501,10
20311605,9
002031275X,9
20315902,10
20315910,7
20322208,10
20332009,8
20332858,8
002034080X,7
002035620X,8
002036041X,9
20360487,10
20360754,7.375
20363702,8
002037500X,7
20381301,7
002038260X,9
20383142,9.333333
002040400X,7.8
20404417,9
20404808,8
20407009,10
20407114,3
20409206,6
20412304,4
20412401,8
20413904,6
20415133,8
20418205,9
20418604,8
20418809,9.333333
20419201,5
20419805,8
20420307,7
20421303,6
20421907,8.75
20426402,5
20426801,6
20427018,8
20427107,8.333333
20427115,7.6
20427751,5
20427859,7.5454545
20429819,10
20430507,10
20430701,10
20434804,9
20434901,6.5
20435207,8.5
20441401,7
20441916,7
20442009,8.583333
20442106,8.5
20442203,8.724138
20442300,8.636364
20442408,8.1
20442505,7.875
20442602,8.769231
20442807,9
20444206,8
20444400,9
20444451,10
20444648,7
20446500,8.285714
20446519,5
20448803,10
20449313,8.857142
20452705,9
20474105,7
002047430X,7.5
20486200,10
20505673,6
20517505,5
20518307,8.666667
20518501,8.111111
20518609,7.857143
20518706,8.6
20518803,5.6666665
20518900,9
20519001,6.8333335
20519109,6.6666665
20519605,8
20532105,9.181818
20545304,7
20545401,8
20545509,7.5
002054555X,7
002054720X,10
20548907,7
20552009,7
20583516,6
20598904,8
20620497,5
20631502,8
20633505,6.8
20641400,4
20648200,9
20655207,8
20698445,9
20698461,7.5
20700105,8
20700202,5
002070190X,9
20715609,5
20720203,9
002076250X,7
20768702,8
20777108,5
20778201,5.5
20780605,8
002079262X,6
20793103,5
20794149,7
20794207,10
20795904,9
20804016,5
002081030X,5
20810903,5
20811608,8
20811853,7.2
20812108,8
20819706,10
20820445,8
20820852,7
20821255,5
20838506,10
20849400,7
20852010,6.5
20864906,6
20867409,7.25
20868308,9.625
20868707,10
20868804,8
20868901,8.666667
20869002,7.5
002086910X,8.333333
20869207,8.5
20869401,7.3333335
20869509,6.6666665
20869606,7.5
20885709,10
002089130X,9
20891415,10
20891431,8
20931808,7
20960808,10
20961502,10
20967802,7
002097292X,9
21441022,6
21627043,10
21795584,8
21855900,7
21923604,6
225623,7
22749020,8
228999,7
23018909,7
23060956,7
23061316,10
23062517,5
23116013,7
23153105,6
002322410X,8
23237309,9
23248807,5
002325291X,6
23285192,8
23376627,5
23381205,5
23385022,5
23401354,5
23454741,8
002346450X,8
23470801,5
23564105,5
23582901,10
23602406,8
23635703,8
002363880X,8
23672609,5
23720808,6
23728213,9
23795808,10
23796219,10
23860103,5
23884401,9
23885815,8
23886854,8
23895306,5
23933410,8
2397808,9
240036,8
24040908,7
002404380X,8
24045411,5
24080918,7
24096229,10
24096903,5
24103411,7
24103659,10
002411510X,7.25
002411510x,7
24115118,9
24181900,9.5
24182001,9
24182206,8
24206202,10
002421132X,7
24248606,7
24278254,10
242896,7
24316903,9
24706000,8
247825,5
24967602,7
002496770X,5
24971901,8
25003305,8
25045407,10
25063707,4
25074857,9
25134701,5
25152009,8.5
25173251,3
25174606,7
002517990X,6
25180207,8
25180401,10
25196359,7.6
25211609,9
25225804,5
25226207,10
25294458,10
25354817,7
25363107,10
25372300,4.5
25386700,5
25424009,8
002542730X,7.805195
25430807,10
25434454,10
25439456,7.6666665
25439472,9
002544395X,5
25444506,7
25465805,7
25473905,6
25474804,8
25518518,4
002553730X,6
25597736,8
25606115,8
25631403,9
25706101,7
25729853,8
258269,7
25845403,5
25876007,9
25882708,3
002588591X,6
25953621,8
25977601,3
25992910,8
25994611,10
26024306,7
26035316,5
26045702,10
26071207,5
26071509,5
26100800,7
26125803,10
26128101,8
26166208,8
26205408,9
26217457,8
26258102,5
26284707,7.5
26284901,7
26301253,7.5
26305909,8
26329859,10
263756,5
26638959,1
26851555,5
26887533,5
26888130,8
26890380,9.666667
26890712,5
26892219,7
26893304,5
27000303,8
27077551,5
27109917,5
27110206,9
27110400,5
27110559,5
002711080X,5
27110907,6
27111008,7
27118401,7.5
27136701,5
27136809,5
27147509,5
27153800,6.5
27183505,9
27185605,1
27197107,10
27327507,8
27345459,7
27354318,5
27357813,8
27359409,8
273755,7
27382001,8
27426432,9
27426459,7
27434850,7
27436292,10
27437906,5
27439003,8
27439607,5
27493954,7
27582000,10
27583600,8
27594556,6
27613658,8
27614204,9
27617319,6
27627403,9
27657108,8.5
27701301,9.25
27747417,6
27751708,9
27757315,5
27778800,8
27824500,7
27826902,9
27859002,8
27887901,5
27888304,10
27888355,10
27888452,7
27912906,5
27916405,10
28025008,10
28028821,4
28049217,5
28055896,10
002817965X,8
2817982,9
28181484,10
28277775,10
28471407,10
28600266,8
002860069X,8
28603702,7
28603869,8.25
28603885,7
28603923,5
28603958,8.666667
28604032,8
28604067,8
28604105,6.5
28604199,7.909091
28604202,8.294118
28604385,8
002860444X,6
28604458,8
28604563,7
28604695,7
28604792,10
002860489X,9
28604954,8
28604997,7
28606353,5
28606612,5
28607163,10
28608127,9
28608364,9
28608437,7
28608763,10
28608828,3
28609166,6
002860928X,7
28609867,9
28610083,7
28610105,9
28610407,10
28610415,6
28610520,7
28610741,8
28610873,7.5
28610903,9
28610989,9.333333
28611128,7
28611438,10
28612574,9
28612671,8
28612744,7
28612787,8
28612922,9
28613228,7.25
28613406,8
002861416X,9
28614186,10
28614216,8
28614275,6
28614488,10
28614496,7
28614518,8
28615042,4
28615077,7
28615689,9
28615883,10
28615972,10
28615999,5
28616340,10
28616367,4
28616375,7
28616464,4
2861673,10
28617274,7.5
28617347,8
28617363,7.3333335
28617452,5
28617525,7
28618734,8
28618874,10
28618904,7
28619463,8
28619471,7
28619498,7
28619552,7
28619633,8
002861979X,8
28620089,10
28620283,8.5
28620372,9
28620585,9
28621107,5
28621131,7.5
28621239,7.75
28621395,7
28621565,7
28621573,7
28621697,9.5
28621905,10
28622049,9
28622170,8
28622189,5
002862226X,8
28622480,8.5
28622715,8
002862288X,8
28622987,8
28623002,5
28623029,7
28623460,8
28623908,9
28624114,5
28624491,5
28624610,5
28625099,8
28625218,7.5
28625757,8.333333
002862615X,10
28626354,8
28626923,10
28627024,5
28627121,10
28627377,9
28627393,8
28627717,10
002862825X,6
28628594,8
2862869,9
28629019,8
28629043,8.5
28629051,7
28629078,5
28629094,8
28629299,8
28629396,7
28629558,8
